Name,Team,Role,Batting Style,Bowling Style
Doug Walters,Australia,Top order Batter,Right hand Bat,Right arm Medium
Dougie Marillier,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Douglas Hondo,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Duanne Olivier,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Duleep Mendis,Sri Lanka,Middle order Batter,Right hand Bat,Right arm Medium
Dumila Dedunu,Sri Lanka,Wicketkeeper,Right hand Bat,
Duminda Perera,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Dunith Wellalage,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Dushmantha Chameera,Sri Lanka,Bowler,Right hand Bat,Right arm Fast
Duvindu Tillakaratne,Sri Lanka,Bowler,Right hand Bat,Slow Left arm Orthodox
Dwaine Pretorius,South Africa,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Dwaraka Ravi Teja,India,Batter,Right hand Bat,Legbreak Googly
Dwayne Bravo,West Indies,Allrounder,Right hand Bat,Right arm Medium
Dwayne Smith,West Indies,Allrounder,Right hand Bat,Right arm Medium
Dwight Washington,West Indies,Bowler,Right hand Bat,Right arm Fast
Eathan Bosch,South Africa,Bowler,Right hand Bat,Right arm Fast
Ebadot Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Ed Barnard,England,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Ed Barnes,England,Bowler,Right hand Bat,Right arm Fast medium
Ed Cowan,Australia,Opening Batter,Left hand Bat,Legbreak
Ed Giddins,England,Bowler,Right hand Bat,Right arm Fast medium
Ed Joyce,Ireland,Top order Batter,Left hand Bat,Right arm Medium
Ed Rainsford,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Eddie Barlow,South Africa,Allrounder,Right hand Bat,Right arm Medium
Eddie Hemmings,England,Allrounder,Right hand Bat,Right arm Offbreak
Eddie Leie,South Africa,Bowler,Right hand Bat,Legbreak
Eddie Richardson,Ireland,Bowler,Right hand Bat,Right arm Medium
Eddo Brandes,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast medium
Eden Carson,New Zealand,Bowler,Right hand Bat,Right arm Offbreak
Ehsan Adil,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Eimear Richardson,Ireland,Allrounder,Right hand Bat,Right arm Offbreak
Ekta Bisht,India,Bowler,Left hand Bat,Slow Left arm Orthodox
Eldine Baptiste,West Indies,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Elias Sunny,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Ellyse Perry,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Elton Chigumbura,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast medium
Elyse Villani,Australia,Middle order Batter,Right hand Bat,Right arm Fast medium
Emma Lamb,England,Batting Allrounder,Right hand Bat,Right arm Offbreak
Emma Sampson,Australia,Bowler,Right hand Bat,Right arm Fast medium
Enamul Haque,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Enamul Haque jnr,Bangladesh,Bowler,Right hand Bat,Slow Left arm Orthodox
Eoin Morgan,England,Middle order Batter,Left hand Bat,Right arm Medium
Erapalli Prasanna,India,Bowler,Right hand Bat,Right arm Offbreak
Eric Upashantha,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Erin Burns,Australia,Allrounder,Right hand Bat,Right arm Offbreak
Erin Osborne,Australia,Allrounder,Right hand Bat,Right arm Offbreak
Ethan Bamber,England,Bowler,Right hand Bat,Right arm Medium fast
Euan Woods,England,Allrounder,Left hand Bat,Right arm Offbreak
Evin Lewis,West Indies,Opening Batter,Left hand Bat,
Ewen Chatfield,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Ewen Thompson,New Zealand,Bowler,Left hand Bat,Left arm Fast medium
Ezra Moseley,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Fabian Allen,West Indies,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
Faf du Plessis,South Africa,Middle order Batter,Right hand Bat,Legbreak
Faheem Ashraf,Pakistan,Bowling Allrounder,Left hand Bat,Right arm Medium
Fahima Khatun,Bangladesh,Bowler,Right hand Bat,Legbreak
Faisal Iqbal,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Faiz Fazal,India,Opening Batter,Left hand Bat,Right arm Medium
Fakhar Zaman,Pakistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Fanie de Villiers,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Faoud Bacchus,West Indies,Middle order Batter,Right hand Bat,Right arm Medium
Faraz Akram,Zimbabwe,Allrounder,Left hand Bat,Right arm Medium
Fareed Ahmad,Afghanistan,Bowler,Left hand Bat,Left arm Fast medium
Fargana Hoque,Bangladesh,Top order Batter,Right hand Bat,
Farhaan Behardien,South Africa,Batting Allrounder,Right hand Bat,Right arm Fast medium
Farhad Reza,Bangladesh,Allrounder,Right hand Bat,Right arm Fast medium
Farhan Zakhil,Afghanistan,Batter,Right hand Bat,Right arm Offbreak
Fariha Trisna,Bangladesh,Bowler,Right hand Bat,Left arm Medium
Farokh Engineer,India,Wicketkeeper Batter,Right hand Bat,Legbreak
Farveez Maharoof,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Fatima Sana,Pakistan,Bowling Allrounder,Right hand Bat,Right arm Medium
Fawad Ahmed,Australia,Bowler,Right hand Bat,Legbreak Googly
Fawad Alam,Pakistan,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Faye Tunnicliffe,South Africa,Wicketkeeper Batter,Right hand Bat,
Fazal Mahmood,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Fazalhaq Farooqi,Afghanistan,Bowler,Right hand Bat,Left arm Fast medium
Fazle Mahmud,Bangladesh,Allrounder,Left hand Bat,Slow Left arm Orthodox
Felix Murray,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Felix Organ,England,Opening Batter,Right hand Bat,Right arm Offbreak
Fidel Edwards,West Indies,Bowler,Right hand Bat,Right arm Fast
Finlay Trenouth,England,Middle order Batter,Right hand Bat,
Finn Allen,New Zealand,Top order Batter,Right hand Bat,
Fionn Hand,Ireland,Bowling Allrounder,Right hand Bat,Right arm Medium
Floyd Reifer,West Indies,Batter,Left hand Bat,Right arm Medium
Forster Mutizwa,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Fran Jonas,New Zealand,Bowler,Right hand Bat,Slow Left arm Orthodox
Fran Wilson,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Frances Mackay,New Zealand,Opening Batter,Right hand Bat,Right arm Offbreak
Franklyn Rose,West Indies,Bowler,Right hand Bat,Right arm Fast
Fraser Jones,South Africa,Bowler,Right hand Bat,Right arm Fast
Fred Titmus,England,Allrounder,Right hand Bat,Right arm Offbreak
Fred Trueman,England,Bowler,Right hand Bat,Right arm Fast
Freya Davies,England,Bowler,Right hand Bat,Right arm Fast medium
Freya Kemp,England,Bowler,Left hand Bat,Left arm Medium
Friday Kasteni,Zimbabwe,Batter,Left hand Bat,Left arm Slow
Friedel de Wet,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Gaby Lewis,Ireland,Allrounder,Right hand Bat,Legbreak
Gagan Khoda,India,Batter,Right hand Bat,
Gareth Andrew,England,Allrounder,Left hand Bat,Right arm Medium fast
Gareth Batty,England,Bowler,Right hand Bat,Right arm Offbreak
Gareth Breese,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Gareth Delany,Ireland,Batting Allrounder,Right hand Bat,Legbreak Googly
Gareth Hopkins,New Zealand,Wicketkeeper Batter,Right hand Bat,
Garey Mathurin,West Indies,Allrounder,Left hand Bat,Slow Left arm Orthodox
Garnett Kruger,South Africa,Bowler,Right hand Bat,Right arm Medium fast
Garry Sobers,West Indies,Allrounder,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox, Left arm Wrist spin"
Gary Ballance,Zimbabwe,Middle order Batter,Left hand Bat,Legbreak
Gary Brent,Zimbabwe,Bowler,Right hand Bat,Right arm Medium
Gary Cosier,Australia,Middle order Batter,Right hand Bat,Right arm Medium
Gary Keedy,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Gary Kidd,Ireland,Bowler,Left hand Bat,Slow Left arm Orthodox
Gary Kirsten,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak
Gary Troup,New Zealand,Bowler,Right hand Bat,Left arm Fast medium
Gary Wilson,Ireland,Wicketkeeper Batter,Right hand Bat,
Gaurav Dhiman,India,Allrounder,Right hand Bat,Right arm Fast medium
Gautam Gambhir,India,Top order Batter,Left hand Bat,Legbreak
Gavin Griffiths,England,Bowler,Right hand Bat,Right arm Fast medium
Gavin Larsen,New Zealand,Bowler,Right hand Bat,Right arm Medium
Gavin Rennie,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Gavin Stevens,Australia,Opening Batter,Right hand Bat,
Gavin Tonge,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Gayan Wijekoon,Sri Lanka,Allrounder,Left hand Bat,Left arm Medium
Geoff Allott,New Zealand,Bowler,Right hand Bat,Left arm Fast medium
Geoff Arnold,England,Bowler,Right hand Bat,Right arm Fast medium
Geoff Boycott,England,Opening Batter,Right hand Bat,Right arm Medium
Geoff Dymock,Australia,Bowler,Left hand Bat,Left arm Fast medium
Geoff Howarth,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Geoff Lawson,Australia,Bowler,Right hand Bat,Right arm Fast
Geoff Marsh,Australia,Opening Batter,Right hand Bat,
Geoff Miller,England,Allrounder,Right hand Bat,Right arm Offbreak
Geoff Pullar,England,Opening Batter,Left hand Bat,Legbreak
George Bailey,Australia,Top order Batter,Right hand Bat,Right arm Medium
George Balderson,England,Allrounder,Left hand Bat,Right arm Medium
George Bartlett,England,Middle order Batter,Right hand Bat,Right arm Offbreak
George Dockrell,Ireland,Allrounder,Right hand Bat,Slow Left arm Orthodox
George Garton,England,Bowling Allrounder,Left hand Bat,Left arm Fast
George Hankins,England,Batter,Right hand Bat,Right arm Offbreak
George Hill,England,Batting Allrounder,Right hand Bat,Right arm Medium
George Lavelle,England,Wicketkeeper,Right hand Bat,
George Linde,South Africa,Allrounder,Left hand Bat,Slow Left arm Orthodox
George Thomas,England,Batting Allrounder,Right hand Bat,Right arm Medium
George Worker,New Zealand,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox
Georgia Elwiss,England,Batting Allrounder,Right hand Bat,Right arm Medium fast
Georgia Plimmer,New Zealand,Middle order Batter,Right hand Bat,Right arm Medium
Georgia Wareham,Australia,Bowler,Right hand Bat,Legbreak
Georgina Dempsey,Ireland,Allrounder,Right hand Bat,Right arm Medium
Gerald Coetzee,South Africa,Bowler,Right hand Bat,Right arm Fast
Gerhardus Liebenberg,South Africa,Opening Batter,Right hand Bat,Right arm Fast medium
Ghulam Fatima,Pakistan,Bowler,Right hand Bat,Legbreak
Gidron Pope,West Indies,Top order Batter,Left hand Bat,Right arm Offbreak
Gihahn Cloete,South Africa,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Gihan De Silva,Sri Lanka,Wicketkeeper Batter,Left hand Bat,
Gihan Rupasinghe,Sri Lanka,Middle order Batter,Left hand Bat,Legbreak
Gladstone Small,England,Bowler,Right hand Bat,Right arm Fast medium
Glen Chapple,England,Bowler,Right hand Bat,Right arm Medium fast
Glenn Maxwell,Australia,Batting Allrounder,Right hand Bat,Right arm Offbreak
Glenn McGrath,Australia,Bowler,Right hand Bat,Right arm Fast medium
Glenn Phillips,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Glenn Turner,New Zealand,Opening Batter,Right hand Bat,Right arm Offbreak
Glenton Stuurman,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Gnaneswara Rao,India,Allrounder,Right hand Bat,Right arm Medium
Golam Kibria,Bangladesh,Bowling Allrounder,Right hand Bat,Right arm Medium
Gordon Greenidge,West Indies,Opening Batter,Right hand Bat,Right arm Medium
Gordon Muchall,England,Middle order Batter,Right hand Bat,Right arm Medium
Grace Harris,Australia,Allrounder,Right hand Bat,Right arm Offbreak
Graeme Aldridge,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Graeme Cremer,Zimbabwe,Bowler,Right hand Bat,Legbreak Googly
Graeme Fowler,England,Opening Batter,Left hand Bat,Right arm Medium
Graeme Hick,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Graeme Hole,Australia,Batter,Right hand Bat,Right arm Offbreak
Graeme Labrooy,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Graeme McCarter,Ireland,Bowler,Right hand Bat,Right arm Medium
Graeme Smith,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak
Graeme White,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Graeme Wood,Australia,Opening Batter,Left hand Bat,Right arm Medium
Graham Dilley,England,Bowler,Left hand Bat,Right arm Fast
Graham Dowling,New Zealand,Opening Batter,Right hand Bat,Right arm Medium
Graham Gooch,England,Top order Batter,Right hand Bat,Right arm Medium
Graham Hume,Ireland,Bowler,Left hand Bat,Right arm Fast medium
Graham Kennedy,Ireland,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Graham Manou,Australia,Wicketkeeper Batter,Right hand Bat,
Graham McKenzie,Australia,Bowler,Right hand Bat,Right arm Fast
Graham Napier,England,Bowling Allrounder,Right hand Bat,Right arm Medium
Graham Onions,England,Bowler,Right hand Bat,Right arm Medium fast
Graham Roope,England,Middle order Batter,Right hand Bat,Right arm Medium
Graham Thorpe,England,Middle order Batter,Left hand Bat,Right arm Medium
Graham Wagg,England,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Graham Yallop,Australia,Top order Batter,Left hand Bat,Left arm Medium
Grahame Bilby,New Zealand,Opening Batter,Right hand Bat,
Grant Elliott,New Zealand,Allrounder,Right hand Bat,Right arm Medium
Grant Flower,Zimbabwe,Allrounder,Right hand Bat,Slow Left arm Orthodox
Grant Mokoena,South Africa,Middle order Batter,Right hand Bat,Left arm Fast medium
Grant Roelofsen,South Africa,Wicketkeeper Batter,Right hand Bat,
Greg Blewett,Australia,Allrounder,Right hand Bat,Right arm Medium
Greg Chappell,Australia,Top order Batter,Right hand Bat,Right arm Medium
Greg Dyer,Australia,Wicketkeeper Batter,Right hand Bat,
Greg Lamb,Zimbabwe,Allrounder,Right hand Bat,Right arm Offbreak
Greg Loveridge,New Zealand,Bowler,Right hand Bat,Legbreak
Greg Matthews,Australia,Allrounder,Left hand Bat,Right arm Offbreak
Greg Ritchie,Australia,Middle order Batter,Right hand Bat,Right arm Medium
Greg Smith,England,Top order Batter,Right hand Bat,Legbreak
Greg Smith,South Africa,Allrounder,Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
Greg Thompson,Ireland,Bowler,Right hand Bat,Legbreak
Gregory Dollar,Zimbabwe,Wicketkeeper,Right hand Bat,
Gudakesh Motie,West Indies,Bowler,Left hand Bat,Slow Left arm Orthodox
Gulabrai Ramchand,India,Allrounder,Right hand Bat,Right arm Medium fast
Gulam Bodi,South Africa,Opening Batter,Left hand Bat,Left arm Wrist spin
Gulbadin Naib,Afghanistan,Batting Allrounder,Right hand Bat,Right arm Medium fast
Gull Feroza,Pakistan,Wicketkeeper Batter,Right hand Bat,
Gulraiz Sadaf,Pakistan,Middle order Batter,Right hand Bat,
Gundappa Viswanath,India,Top order Batter,Right hand Bat,Legbreak
Gurinder Sandhu,Australia,Bowler,Left hand Bat,Right arm Fast medium
Gurkeerat Singh Mann,India,Middle order Batter,Right hand Bat,Right arm Offbreak
Gus Logie,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Guy de Alwis,Sri Lanka,Wicketkeeper Batter,Right hand Bat,
Guy Whittall,Zimbabwe,Batting Allrounder,Right hand Bat,Right arm Medium
Habibul Bashar,Bangladesh,Top order Batter,Right hand Bat,Right arm Offbreak
Haider Ali,Pakistan,Middle order Batter,Right hand Bat,
Haji Murad Muradi,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Hamid Hassan,Afghanistan,Bowler,Right hand Bat,Right arm Fast
Hamidullah Qadri,England,Bowler,Right hand Bat,Right arm Offbreak
Hamilton Masakadza,Zimbabwe,Top order Batter,Right hand Bat,Right arm Medium
Hamish Anthony,West Indies,Allrounder,Right hand Bat,Right arm Fast medium
Hamish Bennett,New Zealand,Bowler,Left hand Bat,Right arm Medium fast
Hamish Marshall,New Zealand,Batter,Right hand Bat,Right arm Medium
Hamish Rutherford,New Zealand,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Hammad Azam,Pakistan,Middle order Batter,Right hand Bat,Right arm Medium
Hanif Mohammad,Pakistan,Opening Batter,Right hand Bat,Right arm Offbreak
Hannah Darlington,Australia,Bowler,Right hand Bat,Right arm Medium
Hannah Rowe,New Zealand,Bowler,Right hand Bat,Right arm Medium
Hannan Sarkar,Bangladesh,Opening Batter,Right hand Bat,Right arm Medium
Hans Fernando,Sri Lanka,Batter,Right hand Bat,Right arm Medium
Hansie Cronje,South Africa,Allrounder,Right hand Bat,Right arm Medium
Hanuma Vihari,India,Batting Allrounder,Right hand Bat,Right arm Offbreak
Harbhajan Singh,India,Bowler,Right hand Bat,Right arm Offbreak
Hardik Pandya,India,Allrounder,Right hand Bat,Right arm Medium fast
Hardus Viljoen,South Africa,Bowler,Right hand Bat,Right arm Fast
Haris Rauf,Pakistan,Bowler,Right hand Bat,Right arm Fast
Haris Sohail,Pakistan,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Harleen Deol,India,Middle order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Harmanpreet Kaur,India,Allrounder,Right hand Bat,Right arm Offbreak
Haroon Rasheed,Pakistan,Top order Batter,Right hand Bat,Right arm Medium
Harpreet Singh,India,Batter,Left hand Bat,Right arm Medium
Harrison Ward,England,Top order Batter,Left hand Bat,Right arm Offbreak
Harrison Wood,Australia,Bowler,Right hand Bat,Right arm Bowler
Harry Conway,Australia,Bowler,Right hand Bat,Right arm Fast medium
Harry Duke,England,Wicketkeeper Batter,Right hand Bat,
Harry Gurney,England,Bowler,Right hand Bat,Left arm Fast medium
Harry Tector,Ireland,Middle order Batter,Right hand Bat,Right arm Offbreak
Harsha Vithana,Sri Lanka,Batter,Right hand Bat,Right arm Offbreak
Harshad Khadiwale,India,Opening Batter,Right hand Bat,Right arm Medium fast
Harshal Patel,India,Bowler,Right hand Bat,Right arm Medium
Harshitha Samarawickrama,Sri Lanka,Top order Batter,Left hand Bat,Right arm Slow medium
Harvik Desai,India,Wicketkeeper Batter,Right hand Bat,
Hasan Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Hasan Mahmud,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Hasan Mohsin,Pakistan,Middle order Batter,Right hand Bat,Right arm Medium
Hasan Murad,Bangladesh,Bowler,Right hand Bat,Slow Left arm Orthodox
Hasantha Fernando,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium fast
Haseeb Hameed,England,Opening Batter,Right hand Bat,Legbreak
Haseebullah Khan,Pakistan,Wicketkeeper Batter,Left hand Bat,
Hashan Dumindu,Sri Lanka,Top order Batter,Right hand Bat,Right arm Offbreak
Hashan Tillakaratne,Sri Lanka,Batter,Left hand Bat,Right arm Offbreak
Hashim Amla,South Africa,Top order Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Hashmatullah Shahidi,Afghanistan,Top order Batter,Left hand Bat,Right arm Offbreak
Hasibul Hossain,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Hasini Perera,Sri Lanka,Middle order Batter,Left hand Bat,Right arm Medium fast
Hassan Khan,Pakistan,Bowler,Right hand Bat,Slow Left arm Orthodox
Hasti Gul,Afghanistan,Bowler,Right hand Bat,Right arm Medium
Hayden Walsh,West Indies,Bowler,Left hand Bat,Legbreak Googly
Hayley Jensen,New Zealand,Bowler,Right hand Bat,Right arm Medium
Hayley Matthews,West Indies,Opening Batter,Right hand Bat,Right arm Offbreak
Hazratullah Zazai,Afghanistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Heath Streak,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast medium
Heather Graham,Australia,Allrounder,Right hand Bat,Right arm Medium fast
Heather Knight,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Hedley Howarth,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Heino Kuhn,South Africa,Wicketkeeper Batter,Right hand Bat,
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Hemang Badani,India,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Henry Davids,South Africa,Top order Batter,Right hand Bat,Right arm Medium fast
Henry Hunt,Australia,Opening Batter,Right hand Bat,Right arm Medium
Henry Nicholls,New Zealand,Top order Batter,Left hand Bat,Right arm Offbreak
Henry Olonga,Zimbabwe,Bowler,Right hand Bat,Right arm Fast
Henry Shipley,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Henry Thornton,Australia,Bowler,Right hand Bat,Right arm Fast
Hermann Rolfes,South Africa,Allrounder,Right hand Bat,Right arm Medium
Herschelle Gibbs,South Africa,Opening Batter,Right hand Bat,Right arm Bowler
Het Patel,India,Middle order Batter,Right hand Bat,
Hilton Cartwright,Australia,Middle order Batter,Right hand Bat,Right arm Medium
Himanshu Rana,India,Top order Batter,Right hand Bat,Right arm Medium
Himesh Ramanayake,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Hiroshi Abeysinghe,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Holly Colvin,England,Bowler,Right hand Bat,Slow Left arm Orthodox
Holly Ferling,Australia,Bowler,Right hand Bat,Right arm Fast medium
Holly Huddleston,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Hrishikesh Kanitkar,India,Top order Batter,Left hand Bat,Right arm Offbreak
Hussain Talat,Pakistan,Allrounder,Left hand Bat,Right arm Medium fast
Iain O'Brien,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Ian Bell,England,Top order Batter,Right hand Bat,Right arm Medium
Ian Bishop,West Indies,Bowler,Right hand Bat,Right arm Fast
Ian Blackwell,England,Allrounder,Left hand Bat,Slow Left arm Orthodox
Ian Botham,England,Allrounder,Right hand Bat,Right arm Fast medium
Ian Bradshaw,West Indies,Bowler,Left hand Bat,Left arm Fast medium
Ian Butler,New Zealand,Bowler,Right hand Bat,Right arm Fast
Ian Chappell,Australia,Top order Batter,Right hand Bat,Legbreak
Ian Craig,Australia,Batter,Right hand Bat,
Ian Gould,England,Wicketkeeper,Left hand Bat,
Ian Harvey,Australia,Allrounder,Right hand Bat,Right arm Medium
Ian Healy,Australia,Wicketkeeper Batter,Right hand Bat,
Ian Nicolson,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Ian Redpath,Australia,Opening Batter,Right hand Bat,Right arm Medium
Ian Smith,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Bowler
Ibrahim Zadran,Afghanistan,Opening Batter,Right hand Bat,Right arm Medium fast
Iftakher Hossain,Bangladesh,Opening Batter,Left hand Bat,
Iftikhar Ahmed,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Iftikhar Anjum,Pakistan,Bowler,Right hand Bat,Right arm Medium
Ihsanullah,Pakistan,Bowler,Right hand Bat,Right arm Fast
Ihsanullah,Afghanistan,Top order Batter,Right hand Bat,
Ijaz Ahmad Ahmadzai,Afghanistan,Allrounder,Right hand Bat,Right arm Medium
Ijaz Ahmed,Pakistan,Batter,Right hand Bat,Left arm Medium
Ijaz Ahmed,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Ijaz Faqih,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Ikram Alikhil,Afghanistan,Wicketkeeper Batter,Left hand Bat,
Imad Wasim,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Imam-ul-Haq,Pakistan,Top order Batter,Left hand Bat,
Imesh Udayanga,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Imraan Khan,South Africa,Batter,Left hand Bat,Right arm Offbreak
Imran Butt,Pakistan,Top order Batter,Right hand Bat,
Imran Farhat,Pakistan,Top order Batter,Left hand Bat,Legbreak
Imran Khan,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Imran Khan,Pakistan,Allrounder,Right hand Bat,Right arm Fast
Imran Khan,Pakistan,Bowler,Right hand Bat,Left arm Medium fast
Imran Nazir,Pakistan,Opening Batter,Right hand Bat,Legbreak
Imran Shah,Pakistan,Opening Batter,Left hand Bat,
Imran Tahir,South Africa,Bowler,Right hand Bat,Legbreak Googly
Imrul Kayes,Bangladesh,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Imtiaz Ahmed,Pakistan,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Indika Gallage,Sri Lanka,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Innocent Kaia,Zimbabwe,Opening Batter,Right hand Bat,Legbreak
Inoka Ranaweera,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Intikhab Alam,Pakistan,Allrounder,Right hand Bat,Legbreak Googly
Inzamam-ul-Haq,Pakistan,Batter,Right hand Bat,Slow Left arm Orthodox
Iqbal Abdulla,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Iqbal Hossain Emmon,Bangladesh,Bowler,Right hand Bat,Right arm Medium
Iqbal Qasim,Pakistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Iqbal Sikander,Pakistan,Allrounder,Right hand Bat,Legbreak Googly
Iram Javed,Pakistan,Middle order Batter,Right hand Bat,Right arm Medium fast
Irfan Khan,Pakistan,Middle order Batter,Right hand Bat,Right arm Medium fast
Irfan Pathan,India,Allrounder,Left hand Bat,Left arm Medium fast
Irfan Sukkur,Bangladesh,Batter,Left hand Bat,
Isabella Gaze,New Zealand,Wicketkeeper Batter,Right hand Bat,
Ish Sodhi,New Zealand,Bowler,Right hand Bat,Legbreak
Ishan Jayaratne,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium
Ishan Kishan,India,Wicketkeeper Batter,Left hand Bat,
Ishan Porel,India,Bowler,Right hand Bat,Right arm Medium
Ishant Sharma,India,Bowler,Right hand Bat,Right arm Fast medium
Ishara Amerasinghe,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium
Isobel Joyce,Ireland,Allrounder,Right hand Bat,Left arm Medium
Israr Ali,Pakistan,Allrounder,Left hand Bat,Left arm Fast medium
Issy Wong,England,Bowler,Right hand Bat,Right arm Fast medium
Isuru Udana,Sri Lanka,Allrounder,Right hand Bat,Left arm Medium fast
Izharulhaq Naveed,Afghanistan,Bowler,Right hand Bat,Legbreak
Jack Blatherwick,England,Bowler,Right hand Bat,Right arm Fast medium
Jack Davies,England,Wicketkeeper Batter,Left hand Bat,
Jack Edwards,Australia,Batter,Right hand Bat,Right arm Medium
Jack Haynes,England,Batter,Right hand Bat,Right arm Offbreak
Jack Leach,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Jack Leaning,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Jack Lees,South Africa,Allrounder,Left hand Bat,Right arm Offbreak
Jack Morley,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Jack Plom,England,Bowler,Left hand Bat,Right arm Fast medium
Jack Richards,England,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Jack Russell,England,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Jack Wildermuth,Australia,Allrounder,Right hand Bat,Right arm Medium fast
Jackie McGlew,South Africa,Top order Batter,Right hand Bat,Legbreak Googly
